iter	Passed	Remaining
0	1	175
1	2	182
2	4	174
3	5	168
4	6	164
5	7	158
6	8	154
7	10	150
8	11	150
9	12	147
10	13	146
11	14	144
12	16	142
13	17	139
14	18	138
15	19	136
16	20	134
17	21	133
18	22	131
19	24	130
20	25	128
21	26	127
22	27	125
23	28	125
24	30	125
25	31	124
26	32	122
27	33	121
28	35	119
29	36	118
30	37	117
31	38	115
32	39	114
33	40	113
34	42	111
35	43	111
36	44	110
37	45	108
38	47	107
39	48	105
40	49	104
41	50	103
42	51	101
43	52	100
44	53	99
45	54	97
46	56	96
47	57	95
48	58	94
49	59	93
50	61	92
51	62	91
52	63	90
53	65	89
54	66	88
55	67	86
56	68	85
57	69	84
58	71	83
59	72	81
60	73	80
61	74	79
62	75	78
63	77	77
64	78	75
65	79	74
66	80	73
67	81	72
68	82	70
69	83	69
70	85	68
71	86	67
72	87	66
73	89	65
74	90	63
75	91	62
76	92	61
77	93	60
78	94	58
79	96	57
80	97	56
81	98	55
82	98	53
83	100	52
84	101	51
85	102	50
86	103	48
87	105	47
88	106	46
89	107	45
90	108	44
91	109	42
92	111	41
93	112	40
94	113	39
95	114	38
96	116	37
97	117	35
98	119	34
99	120	33
100	121	32
101	123	31
102	124	30
103	125	29
104	127	27
105	128	26
106	129	25
107	130	24
108	131	22
109	133	21
110	134	20
111	135	19
112	137	18
113	138	16
114	139	15
115	140	14
116	142	13
117	143	12
118	144	10
119	145	9
120	146	8
121	148	7
122	149	6
123	150	4
124	151	3
125	152	2
126	153	1
127	155	0
